nct_id,study_title,study_status,conditions,interventions,sponsor,phases,Locations,start_date,completion_date
NCT04319094,PEERS Using Peer Mentors to Deliver Depression Care,COMPLETED,Depression,BEHAVIORAL: PEERS|OTHER: Social interaction,Massachusetts General Hospital,,"Johns Hopkins University, Baltimore, Maryland, 21287, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States",2020-02-17,2023-05-30
NCT01979302,Effectiveness of a Depression Care Management Initiative in Home Healthcare,UNKNOWN,Depression,OTHER: Depression CAREPATH|OTHER: Usual Care,Weill Medical College of Cornell University,,"Weill Cornell Medical College, Westchester Division, White Plains, New York, 10605, United States",2009-01,
NCT02111811,Reducing the Burden of Depression Related Disability,COMPLETED,Depression,OTHER: Veterans Work and Health Initiative,VA Office of Research and Development,,"Coatesville VA Medical Center, Coatesville, PA, Coatesville, Pennsylvania, 19320, United States|Corporal Michael J. Crescenz VA Medical Center, Philadelphia, PA, Philadelphia, Pennsylvania, 19104, United States",2014-05-19,2017-12-30
NCT04772651,Mediterranean Diet and the Microbiota Gut Brain Axis in Major Depression,NOT_YET_RECRUITING,Depression,OTHER: Mediterranean Diet|OTHER: Normal hospital diet|OTHER: dietary coaching|OTHER: Psychoeducation on depression,Medical University of Graz,,,2025-11-01,2029-09-30
NCT04428450,Internet-Based Treatment of Depression: Comparing Guided With Unguided Self-Help,COMPLETED,Depression,DEVICE: Deprexis,Gaia AG,,,2009-09-01,2010-12-31
NCT01557153,Vascular Augmentation of Late-life Unremitted Depression (VALUeD),UNKNOWN,Depression,DRUG: Amlodipine|DRUG: Placebo,Gateshead Health NHS Foundation Trust,PHASE3,"Clinical Ageing Research Unit, Newcastle upon Tyne, NE4 5PL, United Kingdom",2012-04,2014-04
NCT03388164,Adherence to Antidepressant Treatment in Subjects With Depression,TERMINATED,Depression,DRUG: Escitalopram + RT2CK17|DRUG: Escitalopram + Placebo,"Laureate Institute for Brain Research, Inc.",PHASE2,"Laureate Institute for Brain Research, Tulsa, Oklahoma, 74136, United States",2018-01-01,2019-05-15
NCT03056183,Care Transitions for Patients With Depression,WITHDRAWN,Depression,BEHAVIORAL: Depression Care Transitions (DCT),Cedars-Sinai Medical Center,,,2019-01-01,2021-12-31
NCT03990792,Personalized Prevention of Depression in Primary Care,COMPLETED,Depression,BEHAVIORAL: e-predictD intervention|OTHER: Brief psychoeducational intervention,The Mediterranean Institute for the Advance of Biotechnology and Health Research,,"Juan M. Mendive, Barcelona, Spain|María Isabel Ballesta Rodríguez, Jaén, Spain|Antonina Rodríguez Bayón, Linares, Spain|Juan Á Bellón, Málaga, Spain|Emiliano Rodríguez, Salamanca, Spain|Yolanda López del Hoyo, Zaragoza, Spain",2020-02-01,2023-12-31
NCT04333277,Lactobacillus Helveticus in the Treatment of Major Depression,UNKNOWN,Depression,OTHER: Probiotic|OTHER: Maltodextrin,Federal University of Minas Gerais,,"Hospital das Clínicas, Belo Horizonte, Minas Gerais, 30130-100, Brazil",2020-04-01,2021-04
NCT00754936,Treatment Response of Geriatric Depression,COMPLETED,Depression,DRUG: Escitalopram,Weill Medical College of Cornell University,,"Weill Cornell Medical College-Westchester Division, White Plains, New York, 10605, United States",2007-05,2015-05
NCT02039973,Healthy Options: Group Psychotherapy for HIV-positive Depressed Perinatal Women.,COMPLETED,Depression,BEHAVIORAL: Task-sharing approach to group therapy|BEHAVIORAL: Enhanced standard of care,Harvard Medical School (HMS and HSDM),,"Dar es Salaam City Health Department, Dar es Salaam, Tanzania",2013-07-01,2017-12-31
NCT05139862,Neurocardiac Predictors of Treatment Response to RTMS in Depression,NOT_YET_RECRUITING,Depression|Treatment Resistant Depression,DEVICE: Repetitive Transcranial Magnetic Stimulation,University of British Columbia,,"Non-Invasive Neurostimulation Therapies (NINET) Laboratory, UBC Department of Psychiatry, Vancouver, British Columbia, V6T 2A1, Canada",2025-05-01,2028-12-01
NCT04607902,Harnessing Network Science to Personalize Scalable Interventions for Adolescent Depression (TRACK to TREAT Phase 2),UNKNOWN,Depression,BEHAVIORAL: Supportive Therapy SSI|BEHAVIORAL: Behavioral Activation SSI|BEHAVIORAL: Growth Mindset SSI,Stony Brook University,,"Stony Brook University, Stony Brook, New York, 11790, United States",2021-02-15,2024-08
NCT01727674,Exploring the Experience of Communication for Patients With Depression,UNKNOWN,Depression,,National Taiwan University Hospital,,"National Taiwan University Hospital, Hsinchu, 31064, Taiwan",2012-11,2013-12
NCT03500029,The Study About Mechanism of Transcranial Magnetic Stimulation Treatment of Depression Using Medical Imaging,UNKNOWN,Depression,RADIATION: Transcranial magnetic stimulation (TMS)|DRUG: antidepressants,Xi'an Jiaotong University,PHASE1,"First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, China",2018-03-01,2022-02
NCT02134678,Assessing Change in Short Term Therapy for Depression,COMPLETED,Depression,BEHAVIORAL: self-system therapy|BEHAVIORAL: cognitive therapy,"University of North Carolina, Greensboro",,"UNC Greensboro, Greensboro, North Carolina, 27412, United States",2011-05,2014-11
